"Date","动量策略","纳指ETF","沪深300ETF","黄金ETF"
2024-01-02,0,0,0,0
2024-01-03,0,-0.0157025229807918,-0.00289599800170881,-0.000642902407496315
2024-01-04,0,-0.0206612351894778,-0.011584139984557,-0.00321471642546667
2024-01-05,0,-0.028099204982436,-0.0165074327729811,-0.000428601604997469
2024-01-08,0,-0.025619848878093,-0.0301187935553926,-0.0034290172279654
2024-01-09,0,-0.000826484874804856,-0.0278019063673925,-0.00364331803046414
2024-01-10,0,-0.000826484874804856,-0.032435532765671,-0.00750103905741983
2024-01-11,0,0,-0.0269332031523989,-0.00750103905741983
2024-01-12,0,-0.0032707011845291,-0.0301187935553925,-0.00428632263195317
2024-01-15,0,-0.0032707011845291,-0.0301187935553925,-0.00428632263195317
2024-01-16,0,-0.00654130489621696,-0.0249059083656836,0
2024-01-17,0,-0.00735900456055938,-0.0466261523395129,-0.00983536526929008
2024-01-18,0,-0.00490600304037314,-0.0333150383543456,-0.0130425207832486
2024-01-19,0,0,-0.0312443121063236,-0.0072696000766691
2024-01-22,0,0,-0.0516547312768967,-0.0111182478656007
2024-01-23,0,-0.00703120619873421,-0.0451471890004015,-0.0096215684955111
2024-01-24,0,-0.00156247991835667,-0.0300611562328067,-0.0109044510918216
2024-01-25,0,-0.00703120619873432,-0.0134961601261007,-0.0153944892020906
2024-01-26,0,-0.0148436989227765,-0.0152709309308064,-0.0111182478656008
2024-01-29,0,-0.00625001280568582,-0.0241450809097788,-0.00919397494795271
2024-01-30,0,0,-0.0407100030276242,-0.00641441298155254
2024-01-31,-0.0216718234831588,-0.0216718234831589,-0.0469219598051074,-0.00513153038524217
2024-02-01,-0.0309598137382612,-0.0309598137382613,-0.0481051896674851,-0.00192427291764807
2024-02-02,-0.0107843338923994,-0.00696599269132681,-0.0569792656575966,0
2024-02-05,-0.00753307419962157,-0.0023219975637756,-0.0510631903345687,-0.00769390376062395
2024-02-06,-0.00599319193158643,-0.000774029943674592,-0.0205953913226455,-0.00983116152805585
2024-02-07,-0.0132141157596061,-0.0100619279315289,-0.0120171967869893,-0.00790760915535504
2024-02-08,0,0,-0.00550950653277238,-0.00363319553055108
2024-02-19,-0.00230237856375437,-0.00535165875446897,0,-0.00748019836589264
2024-02-20,-0.00209966061006317,-0.00688069109308809,0,-0.00790760915535527
2024-02-21,-0.00509690064818469,-0.019877693817859,0,-0.00790760915535527
2024-02-22,0,-0.00305806467723835,0,-0.0085488272496087
2024-02-23,0,0,0,-0.0104722777122498
2024-02-26,-0.00884257407216071,-0.00984103833548799,-0.010063254206483,-0.00598415869271429
2024-02-27,-0.00385604515314886,-0.0113550234082467,0,-0.00705278757643024
2024-02-28,-0.0107292148091296,-0.00908400067825665,-0.0103330257220382,-0.00726649297116166
2024-02-29,-0.00266834167865282,-0.0158970688682272,0,-0.00683908218169904
2024-03-01,0,0,0,-0.00256466855689497
2024-03-04,0,0,-0.00084987046100693,0
2024-03-05,0,-0.00746825284762409,0,0
2024-03-06,0,-0.0112023792714361,-0.0039369234107669,0
2024-03-07,0,-0.0179237712228592,-0.00928008181935513,0
2024-03-08,0,-0.00149363276380543,-0.00646796352314194,-0.000818871388483466
2024-03-11,0,-0.0164301384590537,0,0
2024-03-12,-0.00033336815570828,-0.0126960120352417,0,-0.00408246177613514
2024-03-13,-0.00337568550370138,-0.00672139195142307,-0.00585612065992658,-0.0059196328422142
2024-03-14,-0.00491023315946337,-0.0112023792714363,-0.00948131163933719,-0.00449077608724513
2024-03-15,-0.00282437982970696,-0.0171769993552549,-0.00697158550018484,0
2024-03-18,-0.00341585923424403,-0.0171769993552549,0,-0.00796081506349844
2024-03-19,-0.00564413717779233,-0.0224047585428724,-0.00640307017577457,-0.00591963284221397
2024-03-20,-0.00397310154932873,-0.0186706321190603,-0.00556793857865789,-0.0038783532873633
2024-03-21,0,-0.00149363276380543,-0.0061247394000159,0
2024-03-22,-0.00577725312394461,-0.000746771867604301,-0.0147550128612216,-0.0064282972670564
2024-03-25,-0.00557961068778179,-0.00373412642381188,-0.0200444813942805,-0.00441950825235737
2024-03-26,-0.00283956131323226,0,-0.0169821465117327,-0.00241062344875853
2024-03-27,-0.000907018789747305,0,-0.0275612228476908,0
2024-03-28,0,-0.00223548506988047,-0.0228284855010695,0
2024-03-29,0,-0.00372577883994252,-0.0183741485651273,0
2024-04-01,0,0,-0.00222713365051108,0
2024-04-02,-1.45303942972186e-05,-0.00297615219904335,-0.00556793857865789,0
2024-04-03,0,-0.012648779892018,-0.00946540505832216,0
2024-04-08,0,-0.0133928622904733,-0.0175389473330902,0
2024-04-09,0,-0.0119047861909517,-0.0192093497971636,0
2024-04-10,0,-0.00818455159345299,-0.026447621204975,0
2024-04-11,-0.00767382300053077,-0.0171130968879725,-0.0272828224370117,-0.00742389787826059
2024-04-12,0,-0.00223215849797709,-0.0350778946661809,0
2024-04-15,-0.0151665422917453,-0.0111607037924963,-0.0147550128612216,-0.0158067527381965
2024-04-16,-0.0107548799478875,-0.0379464283734432,-0.0236636867331064,-0.00944768241468097
2024-04-17,-0.00912189530718077,-0.0386904220745095,-0.010857407111717,-0.00781253993316122
2024-04-18,-0.0120249983396208,-0.0409225805724865,-0.00918700464764366,-0.010719479152453
2024-04-19,-0.00730739102166078,-0.0595237535599806,-0.0169821465117329,-0.00599563794511238
2024-04-22,-0.0267222061872873,-0.0654761466554564,-0.0189309493864851,-0.0254361080247513
2024-04-23,-0.0506731090260608,-0.0632440768548687,-0.0258908203836175,-0.049418659805202
2024-04-24,-0.0406935084963543,-0.0409225805724865,-0.0219932842690329,-0.0394258721402443
2024-04-25,-0.0405120753718677,-0.0565476013609373,-0.019209349797164,-0.0392441992683703
2024-04-26,-0.0330727981459543,-0.0401785868714204,-0.00528953816797906,-0.0317950917136118
2024-04-29,-0.0333142919830031,-0.0342261937759445,0,-0.0381540754024721
2024-04-30,-0.0363000781364283,-0.0334821113774889,-0.00497787786612047,-0.0396076316467732
2024-05-06,-0.0330407852352904,-0.0312499528795119,0,-0.0454215100853568
2024-05-07,-0.0316093980095177,-0.0215773251865374,0,-0.0428779166098127
2024-05-08,-0.0366539741175871,-0.0200892490870156,-0.00794524965679266,-0.0441497133475849
2024-05-09,-0.0298811821115437,-0.0223214075849928,0,-0.0461482882075074
2024-05-10,-0.0293504085793781,-0.0171130968879722,0,-0.0245276570307273
2024-05-13,-0.0302849938370408,-0.0133928622904733,-0.000820131948659153,-0.030341622103966
2024-05-14,-0.0318768879155303,-0.0133928622904733,-0.00246039584597768,-0.0317950917136118
2024-05-15,-0.0377004551618308,-0.00669638679654205,-0.00956806931065424,-0.0243459841588535
2024-05-16,-0.034513174435942,0,-0.0062876098945357,-0.0158067527381965
2024-05-17,-0.0282913543929484,-0.00220914645975634,0,-0.0159884256100705
2024-05-20,-0.0264687281015905,-0.000736411414245186,0,0
2024-05-21,-0.0273051996264422,0,-0.00325737543370241,-0.0124324759944718
2024-05-22,-0.0244280621634563,0,-0.00108572391529815,-0.0104504658999585
2024-05-23,-0.0237444347879389,0,-0.0111292302732772,-0.033153154763122
2024-05-24,-0.0384454189893649,-0.0166545989923923,-0.0222583926506179,-0.041621696485169
2024-05-27,-0.0290125683292667,-0.00506885480015473,-0.0141150898582347,-0.0381982635567378
2024-05-28,-0.0286684407994369,-0.000724146777447476,-0.0203583248768946,-0.0389189320153958
2024-05-29,-0.0313795862580799,-0.00506885480015473,-0.020086876924086,-0.0324324863044643
2024-05-30,-0.0410190898532402,-0.0159305385359338,-0.0238870803674692,-0.0419820307144981
2024-05-31,-0.0445815052440404,-0.020275160237652,-0.0276872838108523,-0.0372973420668133
2024-06-03,-0.0424679982484206,-0.0159305385359338,-0.0263301119427459,-0.0457657978722582
2024-06-04,-0.0437702784514389,-0.0188269530037459,-0.0195439131225328,-0.0367567548062177
2024-06-05,-0.0390474350796816,-0.0108616837357791,-0.0230727365090436,-0.0407207749952444
2024-06-06,-0.0211505821397623,0,-0.0230727365090436,-0.0273874634274505
2024-06-07,-0.0205870316896237,0,-0.0293159715277034,-0.0272072103961839
2024-06-11,-0.0226058553480407,0,-0.0361020345560443,-0.0563964308868811
2024-06-12,-0.0134975146744986,0,-0.0371878263672784,-0.0509909878639364
2024-06-13,0,0,-0.0407166497537892,-0.0506306536346074
2024-06-14,-0.000696411376982731,-0.000696411376982842,-0.0352877585935548,-0.0502703194052787
2024-06-17,0,0,-0.0380022381216399,-0.0488288965713608
2024-06-18,0,0,-0.0350163106407464,-0.0479279750814364
2024-06-19,0,0,-0.0377307222728954,-0.044144207923676
2024-06-20,0,0,-0.0439739572915552,-0.0358559192328957
2024-06-21,-0.0149456216946653,-0.0149456216946652,-0.0456025771124701,-0.0313513976998755
2024-06-24,-0.0196613012430573,-0.0190217371498338,-0.0502171244142788,-0.0468468864768474
2024-06-25,-0.0298448652314407,-0.0292119448031836,-0.0559174635273219,-0.0446847092676694
2024-06-26,-0.011514466238705,-0.0108695872240683,-0.0502171244142791,-0.0502703194052787
2024-06-27,-0.0121933219455338,-0.0115488858102154,-0.055374635517641,-0.0554955093969568
2024-06-28,0,0,-0.0534744998479815,-0.0455856307575939
2024-07-01,-0.00135591472438379,-0.00135591472438357,-0.0496742964045982,-0.045225296528265
2024-07-02,-0.000677997772119965,-0.000677997772119965,-0.0510314682727047,-0.0439639548924096
2024-07-03,0,0,-0.0526601559895558,-0.037837843410807
2024-07-04,0,0,-0.0567318752816837,-0.0333334077943889
2024-07-05,0,0,-0.0613464225834925,-0.030450476209951
2024-07-08,0,0,-0.0678610376590246,-0.0299099748659578
2024-07-09,0,0,-0.0578175991969815,-0.0338739091383825
2024-07-10,-0.00790140617463675,-0.0127550902101877,-0.0599891828194499,-0.0275676305421153
2024-07-11,-0.00367054572288816,-0.00829082384188884,-0.04750271278213,-0.0239640304990195
2024-07-12,-0.0271990465570934,-0.048469373209247,-0.0447882332540449,-0.0187387545907394
2024-07-15,-0.0171176918792738,-0.0184948503942381,-0.0428881654803214,-0.0194595089659995
2024-07-16,-0.0118635420980771,-0.0204081291310332,-0.0361020345560443,-0.00810812157611662
2024-07-17,-0.0066717685836597,-0.0293367378939654,-0.034744862687938,0
2024-07-18,-0.0112165636359012,-0.0465560944724519,-0.0290445235748952,-0.000538066586167618
2024-07-19,-0.0273615554603097,-0.061862248340478,-0.0228012885562353,-0.027080347400143
2024-07-22,-0.0335387091172372,-0.0669642236034855,-0.0306731433958101,-0.0277977410097042
2024-07-23,-0.0430635307460906,-0.0580356908668879,-0.0496742964045982,-0.0326399127052811
2024-07-24,-0.0469633791350524,-0.0765306172874608,-0.0556460155745134,-0.0199067533684748
2024-07-25,-0.071029081040609,-0.10267858262888,-0.0610749067347476,-0.0446556784325262
2024-07-26,-0.0670181723006248,-0.101403012786793,-0.0570032553385559,-0.0405309003465107
2024-07-29,-0.0605657432323519,-0.0835458712872632,-0.0624321464987903,-0.0338952873850237
2024-07-30,-0.0593450246458159,-0.0943877587869905,-0.06867538151745,-0.0326399127052811
2024-07-31,-0.0520207131266012,-0.0886479225766053,-0.0477741607349385,-0.0251076646268253
2024-08-01,-0.0481323830761918,-0.0669642236034853,-0.0545602237632792,-0.0172166769855956
2024-08-02,-0.0457267956997603,-0.109693836628682,-0.06433228216845,-0.0127331593368065
2024-08-05,-0.0698219663439104,-0.17920919991634,-0.0749185486401737,-0.0376614114242516
2024-08-06,-0.0698219663439104,-0.150510170917083,-0.0749185486401737,-0.0446556784325262
2024-08-07,-0.0698219663439104,-0.149234677101332,-0.0768186843098334,-0.0401721607837369
2024-08-08,-0.0698219663439104,-0.161989767311519,-0.0757328924985992,-0.0407102273699044
2024-08-09,-0.0698219663439104,-0.139030574522648,-0.0789902000363651,-0.0322812586584935
2024-08-12,-0.0698219663439104,-0.129464256865007,-0.0800760597435356,-0.0249283376034315
2024-08-13,-0.0634918660501039,-0.120535724128409,-0.0787188199794931,-0.0182927246419444
2024-08-14,-0.0634918660501039,-0.0988520251552893,-0.0852334350550253,-0.0215208676109909
2024-08-15,-0.0634918660501039,-0.093112188944904,-0.0749185486401737,-0.0238522899470824
2024-08-16,-0.0634918660501039,-0.0631377421562298,-0.0743756527345567,-0.0220588486811722
2024-08-19,-0.0605974209328012,-0.0803570987347163,-0.0719326890552161,-0.0112984576336698
2024-08-20,-0.0605974209328012,-0.0637754510509385,-0.07627572050828,-0.0112984576336698
2024-08-21,-0.0566005903869319,-0.06313774215623,-0.0803474398004079,-0.0069942670082741
2024-08-22,-0.0576701367701326,-0.061862248340478,-0.0827904713756846,-0.00950510188374576
2024-08-23,-0.0625844457754831,-0.0707907810770757,-0.0789902000363651,-0.0129124863601997
2024-08-26,-0.0579229622081704,-0.0688775023402806,-0.0787188199794929,-0.00681493998488036
2024-08-27,-0.0607274057802035,-0.0803570987347165,-0.0833332993853654,-0.00753233359444172
2024-08-28,-0.0615392847540748,-0.0803570987347165,-0.0887621905455998,-0.00860838125079066
2024-08-29,-0.0654686202070749,-0.10267858262888,-0.0914766700736849,-0.00735300657104798
2024-08-30,-0.0676635468497292,-0.0963009614974513,-0.0792616479891736,-0.00968442890713939
2024-09-02,-0.0645063418663658,-0.0886479225766056,-0.0955483214698765,-0.0152439086962912
2024-09-03,-0.0630334027271579,-0.0873724287608536,-0.0922909460361743,-0.0134505529463675
2024-09-04,-0.0871570676352531,-0.135204093075392,-0.0979912851492172,-0.0202654929312482
2024-09-05,-0.081391195340734,-0.132653029417554,-0.0960912173754938,-0.0132712259229737
2024-09-06,-0.0774173826990556,-0.124999990496708,-0.10369162426226,-0.0105810640241083
2024-09-09,-0.0838630119796948,-0.13010204178605,-0.114820854535537,-0.0177546580557766
2024-09-10,-0.0781120938411756,-0.127550978128212,-0.114820854535537,-0.0112984576336695
2024-09-11,-0.073262725099978,-0.121811217944161,-0.116720922309261,-0.00609763189130541
2024-09-12,-0.0751020995860914,-0.0937499738659477,-0.119706781894218,-0.00807031466462305
2024-09-13,-0.061900715484451,-0.0848214411293501,-0.123778569082282,0
2024-09-18,-0.0622350698888643,-0.0918366951291526,-0.121064021658261,-0.000356416863259823
2024-09-19,-0.0637398241528839,-0.0816325925504686,-0.113734994828367,-0.0019604627130515
2024-09-20,-0.053206863193067,-0.0797193898400083,-0.111292099044963,0
2024-09-23,-0.0451817994325898,-0.0758928323664181,-0.108849067469686,0
2024-09-24,-0.0475224397076424,-0.08099488365576,-0.0697611054327482,-0.00245139888793655
2024-09-25,-0.0395338714534992,-0.0880102136818971,-0.0570032553385561,0
2024-09-26,-0.0269009345327026,-0.0784438199979217,-0.011943506235767,0
2024-09-27,-0.00626547364711116,-0.0982142402342467,0,-0.0074769161810474
