"Date","动量策略","沪深300ETF","等权重组合"
2024-01-02,0,0,0
2024-01-03,0,-0.00289599800170881,-0.00641380779666567
2024-01-04,0,-0.011584139984557,-0.0118204610733083
2024-01-05,0,-0.0165074327729811,-0.0150421841632129
2024-01-08,0,-0.0301187935553926,-0.0197340256622858
2024-01-09,0,-0.0278019063673925,-0.0107093488474329
2024-01-10,0,-0.032435532765671,-0.013557833645348
2024-01-11,0,-0.0269332031523989,-0.00788031653478627
2024-01-12,0,-0.0301187935553925,-0.0089734512439632
2024-01-15,0,-0.0301187935553925,-0.0089734512439632
2024-01-16,0,-0.0249059083656836,-0.00607771568407089
2024-01-17,0,-0.0466261523395129,-0.0169888198054448
2024-01-18,0,-0.0333150383543456,-0.0126654421890106
2024-01-19,0,-0.0312443121063236,-0.00327470684436204
2024-01-22,0,-0.0516547312768967,-0.00139744893212579
2024-01-23,0,-0.0451471890004015,-0.000949975928602464
2024-01-24,0,-0.0300611562328067,0
2024-01-25,0,-0.0134961601261007,0
2024-01-26,0,-0.0152709309308064,-0.00177458762166138
2024-01-29,0,-0.0241450809097788,-0.00122313124632401
2024-01-30,0,-0.0407100030276242,-0.000705789964908554
2024-01-31,-0.0216718234831588,-0.0469219598051074,-0.00965155047187427
2024-02-01,-0.0309598137382612,-0.0481051896674851,-0.0121311911947566
2024-02-02,-0.0107843338923994,-0.0569792656575966,-0.00627172614756677
2024-02-05,-0.00753307419962157,-0.0510631903345687,-0.00519313176344793
2024-02-06,-0.00599319193158643,-0.0205953913226455,0
2024-02-07,-0.0132141157596061,-0.0120171967869893,0
2024-02-08,0,-0.00550950653277238,0
2024-02-19,-0.00230237856375437,0,-0.000393929860205811
2024-02-20,-0.00209966061006317,0,0
2024-02-21,-0.00509690064818469,0,0
2024-02-22,0,0,0
2024-02-23,0,0,0
2024-02-26,-0.00884257407216071,-0.010063254206483,-0.00512289175962
2024-02-27,-0.00385604515314886,0,-0.00203739671749492
2024-02-28,-0.0107292148091296,-0.0103330257220382,-0.00478217397182834
2024-02-29,-0.00266834167865282,0,-0.00162856081085827
2024-03-01,0,0,0
2024-03-04,0,-0.00084987046100693,0
2024-03-05,0,0,0
2024-03-06,0,-0.0039369234107669,-0.000130254622909387
2024-03-07,0,-0.00928008181935513,0
2024-03-08,0,-0.00646796352314194,0
2024-03-11,0,0,0
2024-03-12,-0.00033336815570828,0,0
2024-03-13,-0.00337568550370138,-0.00585612065992658,-0.000549791097893104
2024-03-14,-0.00491023315946337,-0.00948131163933719,-0.00278872272936215
2024-03-15,-0.00282437982970696,-0.00697158550018484,-0.00245549619613494
2024-03-18,-0.00341585923424403,0,-0.00220790950404604
2024-03-19,-0.00564413717779233,-0.00640307017577457,-0.00542234125550023
2024-03-20,-0.00397310154932873,-0.00556793857865789,-0.00319659095912805
2024-03-21,0,-0.0061247394000159,0
2024-03-22,-0.00577725312394461,-0.0147550128612216,-0.00478792551365825
2024-03-25,-0.00557961068778179,-0.0200444813942805,-0.00688997429744398
2024-03-26,-0.00283956131323226,-0.0169821465117327,-0.00345046043208874
2024-03-27,-0.000907018789747305,-0.0275612228476908,-0.00517226125795966
2024-03-28,0,-0.0228284855010695,-0.00170793024810423
2024-03-29,0,-0.0183741485651273,0
2024-04-01,0,-0.00222713365051108,0
2024-04-02,-1.45303942972186e-05,-0.00556793857865789,-0.00184950824726571
2024-04-03,0,-0.00946540505832216,-0.00173791210165053
2024-04-08,0,-0.0175389473330902,0
2024-04-09,0,-0.0192093497971636,0
2024-04-10,0,-0.026447621204975,-2.53787689207252e-05
2024-04-11,-0.00767382300053077,-0.0272828224370117,-0.00578657013177708
2024-04-12,0,-0.0350778946661809,0
2024-04-15,-0.0151665422917453,-0.0147550128612216,-0.00123119710207564
2024-04-16,-0.0107548799478875,-0.0236636867331064,-0.0111086661126357
2024-04-17,-0.00912189530718077,-0.010857407111717,-0.00649579547869361
