date,action,price,size,units,position
2015-02-26,BUY,-106.68945454545454,200,1,200
2015-02-27,BUY,-103.87127272727271,200,2,400
2015-03-02,BUY,-100.32581818181819,200,3,600
2015-03-03,BUY,-101.68945454545457,200,4,800
2015-06-05,SELL,-39.134909090909105,-800,0,0
2015-06-23,SELL,-55.780363636363646,-100,1,-100
2015-06-25,BUY,-36.05309090909094,100,0,0
2015-06-30,SELL,-49.56218181818183,-100,1,-100
2015-07-02,BUY,-41.689454545454566,100,0,0
2015-07-03,BUY,-41.96218181818182,100,1,100
2015-07-07,BUY,-46.507636363636365,100,2,200
2015-07-09,SELL,-58.4530909090909,-200,0,0
2015-08-21,SELL,-78.28399999999999,-100,1,-100
2015-08-24,SELL,-88.80399999999997,-100,2,-200
2015-08-25,SELL,-102.344,-100,3,-300
2015-08-27,BUY,-79.80399999999997,300,0,0
2015-09-17,BUY,-67.20399999999998,100,1,100
2015-09-30,SELL,-79.57399999999998,-100,0,0
2015-10-26,BUY,-57.803999999999995,200,1,200
2015-10-27,BUY,-52.70399999999997,200,2,400
2015-11-06,BUY,-52.45399999999999,200,3,600
2015-11-10,BUY,-49.80399999999999,200,4,800
2015-11-25,SELL,-58.10399999999998,-800,0,0
2015-11-30,SELL,-61.764,-200,1,-200
2015-12-03,BUY,-50.80399999999996,200,0,0
2015-12-22,BUY,-43.00399999999999,200,1,200
2016-01-05,SELL,-59.803999999999995,-200,0,0
2016-01-06,SELL,-57.023999999999994,-200,1,-200
2016-01-07,SELL,-60.813999999999986,-200,2,-400
2016-01-08,SELL,-65.63400000000001,-200,3,-600
2016-01-11,SELL,-66.644,-200,4,-800
2016-02-05,BUY,-64.814,800,0,0
2016-02-24,BUY,-57.604000000000006,200,1,200
2016-02-25,BUY,-51.004000000000005,200,2,400
2016-03-01,SELL,-53.84399999999998,-400,0,0
2016-03-03,BUY,-44.804,200,1,200
2016-03-04,BUY,-42.92400000000001,200,2,400
2016-03-07,BUY,-31.69399999999999,200,3,600
2016-03-15,SELL,-45.00399999999999,-600,0,0
2016-03-25,BUY,-27.304000000000002,100,1,100
2016-03-28,BUY,-24.823999999999984,100,2,200
2016-03-29,BUY,-20.204000000000008,100,3,300
2016-04-07,BUY,-12.91400000000002,100,4,400
2016-04-13,SELL,-24.403999999999996,-400,0,0
2016-05-04,BUY,-9.804000000000006,200,1,200
2016-05-17,SELL,-18.793999999999986,-200,0,0
2016-06-01,BUY,-4.404000000000028,200,1,200
2016-06-03,BUY,-2.8040000000000056,200,2,400
2016-06-06,BUY,12.19599999999999,200,3,600
2016-06-14,SELL,-2.094000000000026,-600,0,0
2016-06-28,BUY,17.215999999999973,100,1,100
2016-07-01,BUY,23.56699999999997,100,2,200
2016-07-04,BUY,23.366999999999983,100,3,300
2016-07-05,BUY,31.397000000000013,100,4,400
2016-08-02,SELL,43.617000000000004,-400,0,0
2016-08-12,BUY,53.76699999999999,100,1,100
2016-08-16,BUY,58.367000000000004,100,2,200
2016-08-18,SELL,44.317,-200,0,0
2016-08-26,SELL,39.507000000000026,-200,1,-200
2016-09-02,BUY,44.367000000000004,200,0,0
2016-09-13,SELL,36.31699999999997,-200,1,-200
2016-09-21,SELL,31.426999999999985,-200,2,-400
2016-09-22,SELL,30.666999999999994,-200,3,-600
2016-09-27,SELL,25.24699999999998,-200,4,-800
2016-10-11,BUY,40.36699999999998,800,0,0
2016-10-26,BUY,49.36700000000007,200,1,200
2016-10-27,BUY,49.35700000000001,200,2,400
2016-10-28,BUY,53.867000000000004,200,3,600
2016-11-01,BUY,54.317,200,4,800
2016-11-15,SELL,46.39700000000004,-800,0,0
2016-11-30,BUY,57.58699999999998,200,1,200
2016-12-02,BUY,57.367000000000004,200,2,400
2016-12-06,BUY,52.59700000000002,200,3,600
2016-12-07,BUY,63.487000000000016,200,4,800
2016-12-26,SELL,55.39699999999998,-800,0,0
2017-01-05,BUY,86.36700000000002,100,1,100
2017-01-09,BUY,84.16700000000003,100,2,200
2017-01-10,BUY,84.81700000000006,100,3,300
2017-01-11,BUY,84.36700000000002,100,4,400
2017-07-04,SELL,195.327,-400,0,0
2017-07-10,SELL,190.03400000000005,-100,1,-100
2017-07-13,BUY,198.50400000000002,100,0,0
2017-07-25,BUY,225.35400000000004,100,1,100
