date,symbol,action,price,size,value,commission
2020-05-06,厦门钨业,BUY,8.986,53270,478684.22000000003,40.879632388000005
2020-05-06,瑞华泰,BUY,16.07,31113,499985.91000000003,42.698796714000004
2020-06-01,厦门钨业,SELL,9.876000000000001,-792,7116.912,5.0
2020-07-01,瑞华泰,SELL,16.07,-31113,499985.91000000003,42.698796714000004
2020-07-01,厦门钨业,BUY,9.706,659,6396.254,5.0
2020-07-01,中钨高新,BUY,3.86,132978,513295.07999999996,43.835399832
2020-08-03,中钨高新,SELL,4.783076923076922,-132978,513295.07999999996,54.31815786276922
2020-08-03,厦门钨业,SELL,12.856,-3447,31005.52154269153,5.0
2020-08-03,章源钨业,BUY,3.763384615384615,172901,650692.9633846154,55.56917907304616
2020-09-01,章源钨业,SELL,3.2556923076923074,-172901,650692.9633846154,48.07272371612308
2020-09-01,厦门钨业,SELL,12.566,-1284,11549.489312682312,5.0
2020-09-01,中钨高新,BUY,4.698461538461538,128499,603747.6092307691,51.56004582830768
2020-10-09,厦门钨业,SELL,11.435999999999998,-48406,435408.55114462617,47.2749647664
2020-10-09,中钨高新,SELL,4.367692307692307,-128499,603747.6092307691,47.93024561446154
2020-10-09,章源钨业,BUY,3.4633846153846153,157012,543792.9452307692,46.439917522707695
2020-10-09,瑞华泰,BUY,17.96,30813,553401.48,47.260486392
2020-11-02,章源钨业,SELL,3.194153846153846,-157012,543792.9452307692,42.82984930732307
2020-11-02,瑞华泰,SELL,15.950000000000001,-30813,553401.48,41.97131169000001
2020-11-02,厦门钨业,BUY,11.146,45872,511289.31200000003,43.66410724480001
2020-11-02,中国稀土,BUY,22.78803,22477,512206.55030999996,43.742439396474
2020-12-01,厦门钨业,SELL,13.026,-45872,511289.31200000003,51.028948588800006
2020-12-01,中国稀土,SELL,22.78803,-22477,512206.55030999996,43.742439396474
2020-12-01,章源钨业,BUY,3.9018461538461544,142467,555884.3160000001,47.47252058640001
2020-12-01,瑞华泰,BUY,17.900000000000002,30168,540007.2000000001,46.11661488000001
2021-01-04,瑞华泰,SELL,14.579999999999998,-30168,540007.2000000001,37.563142176
2021-01-04,章源钨业,SELL,4.001846153846154,-18373,71688.61938461539,6.279113515446155
2021-02-01,章源钨业,SELL,3.363384615384615,-124094,484195.69661538466,35.643897629415385
2021-02-01,厦门钨业,BUY,15.425999999999998,30732,474071.83199999994,40.485734452799996
