Date,ETF,Selected,Weight,Momentum,AdjMomentum
2026-02-06,人工智能ETF,False,0.0,,
2026-02-06,军工ETF,True,0.3880377184191235,0.000983696283348917,0.03659172107193885
2026-02-06,创新药ETF,False,0.0,,
2026-02-06,半导体ETF,False,0.0,,
2026-02-06,恒生科技ETF,False,0.0,,
2026-02-06,房地产ETF,False,0.0,,
2026-02-06,旅游ETF,True,0.561612310797382,0.0008672723988461361,0.05295969966782502
2026-02-06,机器人ETF嘉实,False,0.0,,
2026-02-06,消费50ETF,True,0.05034997078349454,7.227370692639568e-05,0.004747971651817405
2026-02-06,游戏ETF,False,0.0,,
2026-02-06,电池ETF,False,0.0,,
2026-02-06,科创50ETF,False,0.0,,
2026-02-06,银行ETF易方达,False,0.0,,
2026-02-13,人工智能ETF,False,0.0,,
2026-02-13,军工ETF,True,0.038285375892866076,0.00016784022083638495,0.006185359066042608
2026-02-13,创新药ETF,False,0.0,,
2026-02-13,半导体ETF,False,0.0,,
2026-02-13,恒生科技ETF,False,0.0,,
2026-02-13,房地产ETF,True,0.32540375101209346,0.001003454042927604,0.052572006791292036
2026-02-13,旅游ETF,True,0.2845630959340803,0.0007665050303298671,0.04597381857298127
2026-02-13,机器人ETF嘉实,False,0.0,,
2026-02-13,消费50ETF,True,0.16856767025177194,0.00041095797528400426,0.027233677170915835
2026-02-13,游戏ETF,True,0.18318010690918826,0.0006197042182235102,0.029594452413369835
2026-02-13,电池ETF,False,0.0,,
2026-02-13,科创50ETF,False,0.0,,
2026-02-13,银行ETF易方达,False,0.0,,
2026-03-02,人工智能ETF,False,0.0,,
2026-03-02,军工ETF,False,0.0,,
2026-03-02,创新药ETF,False,0.0,,
2026-03-02,半导体ETF,False,0.0,,
2026-03-02,恒生科技ETF,False,0.0,,
2026-03-02,房地产ETF,False,0.0,,
2026-03-02,旅游ETF,False,0.0,,
2026-03-02,机器人ETF嘉实,False,0.0,,
2026-03-02,消费50ETF,False,0.0,,
2026-03-02,游戏ETF,False,0.0,,
2026-03-02,电池ETF,False,0.0,,
2026-03-02,科创50ETF,False,0.0,,
2026-03-02,银行ETF易方达,True,1.0,0.0007221896470533506,0.08573601058353078
2026-03-09,人工智能ETF,False,0.0,,
2026-03-09,军工ETF,False,0.0,,
2026-03-09,创新药ETF,False,0.0,,
2026-03-09,半导体ETF,False,0.0,,
2026-03-09,恒生科技ETF,False,0.0,,
2026-03-09,房地产ETF,False,0.0,,
2026-03-09,旅游ETF,False,0.0,,
2026-03-09,机器人ETF嘉实,False,0.0,,
2026-03-09,消费50ETF,False,0.0,,
2026-03-09,游戏ETF,False,0.0,,
2026-03-09,电池ETF,True,0.5889059634489436,0.0008224445636245247,0.05359607540328055
2026-03-09,科创50ETF,False,0.0,,
2026-03-09,银行ETF易方达,True,0.41109403655105625,0.00032495112412233017,0.03741348933162837
2026-03-16,人工智能ETF,True,0.07148728326299932,0.0004522885678199806,0.02540704924711942
2026-03-16,军工ETF,False,0.0,,
2026-03-16,创新药ETF,False,0.0,,
2026-03-16,半导体ETF,False,0.0,,
2026-03-16,恒生科技ETF,False,0.0,,
2026-03-16,房地产ETF,False,0.0,,
2026-03-16,旅游ETF,False,0.0,,
2026-03-16,机器人ETF嘉实,False,0.0,,
2026-03-16,消费50ETF,False,0.0,,
2026-03-16,游戏ETF,False,0.0,,
2026-03-16,电池ETF,True,0.6893642477084924,0.0032929852499053946,0.24500457411840734
2026-03-16,科创50ETF,False,0.0,,
2026-03-16,银行ETF易方达,True,0.23914846902850828,0.0005470264958634729,0.08499493410075347
2026-03-23,人工智能ETF,False,0.0,,
2026-03-23,军工ETF,False,0.0,,
2026-03-23,创新药ETF,False,0.0,,
2026-03-23,半导体ETF,False,0.0,,
2026-03-23,恒生科技ETF,False,0.0,,
2026-03-23,房地产ETF,False,0.0,,
2026-03-23,旅游ETF,False,0.0,,
2026-03-23,机器人ETF嘉实,False,0.0,,
2026-03-23,消费50ETF,False,0.0,,
2026-03-23,游戏ETF,False,0.0,,
