date,action,price,size,units,position
2021-02-04,BUY,1948.6927699999992,14,1,14
2021-02-05,BUY,2082.6927699999997,14,2,28
2021-02-08,BUY,2094.6927699999997,14,3,42
2021-02-25,SELL,1966.692769999999,-42,0,0
2021-03-03,SELL,1797.69277,-10,1,-10
2021-03-08,SELL,1832.6527699999997,-9,2,-19
2021-03-09,SELL,1712.69277,-10,3,-29
2021-03-10,SELL,1734.69277,-10,4,-39
2021-03-30,BUY,1797.69277,39,0,0
2021-04-06,BUY,1918.6927699999994,11,1,11
2021-04-13,SELL,1777.6927699999999,-11,0,0
2021-05-07,SELL,1722.6927699999999,-15,1,-15
2021-05-10,SELL,1657.6927699999999,-15,2,-30
2021-05-11,SELL,1633.6927699999999,-15,3,-45
2021-05-13,BUY,1723.44277,45,0,0
2021-05-26,BUY,1965.6727699999994,15,1,15
2021-05-27,BUY,1968.7127699999992,15,2,30
2021-05-28,BUY,1998.6627699999997,14,3,44
2021-06-10,SELL,1952.6927699999992,-44,0,0
2021-06-24,SELL,1797.7027699999999,-15,1,-15
2021-07-06,SELL,1771.9857699999998,-15,2,-30
2021-07-07,SELL,1786.9857699999998,-15,3,-45
2021-07-09,SELL,1741.5057699999998,-16,4,-61
2021-09-07,BUY,1438.0157699999997,61,0,0
2021-09-27,BUY,1526.9857699999998,18,1,18
2021-09-28,BUY,1624.9857699999998,17,2,35
2021-10-12,BUY,1642.9857699999998,17,3,52
2021-11-02,SELL,1573.6857699999998,-52,0,0
2021-11-11,SELL,1529.9157699999998,-20,1,-20
2021-11-22,BUY,1625.9857699999998,20,0,0
2021-11-23,BUY,1628.9857699999998,20,1,20
2021-11-24,BUY,1676.9857699999998,20,2,40
2021-11-25,BUY,1729.9857699999998,20,3,60
2022-01-07,SELL,1751.9857699999998,-60,0,0
2022-01-11,SELL,1724.9857699999998,-18,1,-18
2022-01-14,SELL,1654.3757699999999,-18,2,-36
2022-01-18,SELL,1638.6657699999998,-19,3,-55
2022-01-21,BUY,1736.9857699999998,55,0,0
2022-02-09,SELL,1616.0757699999997,-18,1,-18
2022-02-23,SELL,1588.3957699999996,-20,2,-38
2022-02-25,SELL,1551.9857699999998,-20,3,-58
2022-03-08,SELL,1536.9657699999998,-21,4,-79
