date,action,price,size,units,position
2024-08-21,SELL,1316.4637699999998,-306,1,-306
2024-08-22,BUY,1312.4637699999998,306,0,0
2024-08-23,SELL,1304.46377,-223,1,-223
2024-08-26,BUY,1313.4637699999998,223,0,0
2024-08-29,SELL,1276.4637699999998,-132,1,-132
2024-08-30,BUY,1309.4637699999998,132,0,0
2024-09-10,SELL,1266.4837699999998,-67,1,-67
2024-09-13,SELL,1227.4637699999998,-58,2,-125
2024-09-18,SELL,1196.4637699999998,-57,3,-182
2024-09-19,SELL,1158.4637699999998,-57,4,-239
2024-09-25,BUY,1296.5137699999998,239,0,0
2024-09-27,BUY,1496.4637700000003,23,1,23
2024-09-30,BUY,1588.4637699999996,21,2,44
2024-10-10,SELL,1518.7237699999998,-44,0,0
2024-11-11,BUY,1486.4637699999998,15,1,15
2024-11-13,BUY,1464.4637699999998,15,2,30
2024-11-15,BUY,1465.4637699999998,16,3,46
2024-11-20,SELL,1439.4637699999998,-46,0,0
2024-11-25,SELL,1407.4637699999998,-17,1,-17
2024-11-27,SELL,1405.4637699999998,-18,2,-35
2024-12-11,BUY,1436.4637699999998,35,0,0
2025-01-03,SELL,1414.84577,-24,1,-24
2025-01-06,SELL,1373.34577,-24,2,-48
2025-01-07,SELL,1365.00577,-24,3,-72
2025-01-09,SELL,1369.33577,-25,4,-97
2025-01-21,BUY,1401.3457700000001,97,0,0
2025-02-06,SELL,1320.35577,-25,1,-25
2025-02-14,BUY,1385.4057699999998,25,0,0
2025-02-18,BUY,1390.34577,25,1,25
2025-03-04,BUY,1405.34577,23,2,48
2025-04-01,SELL,1484.34577,-48,0,0
2025-04-08,SELL,1433.34577,-21,1,-21
2025-04-09,SELL,1445.3657699999999,-20,2,-41
2025-05-09,BUY,1499.33577,41,0,0
2025-05-12,BUY,1518.3457700000001,26,1,26
2025-05-27,SELL,1471.34577,-26,0,0
2025-05-30,SELL,1460.49577,-27,1,-27
2025-06-03,SELL,1428.35577,-27,2,-54
2025-06-10,SELL,1406.34577,-30,3,-84
2025-06-13,SELL,1364.7557699999995,-31,4,-115
2025-07-07,BUY,1370.2987699999999,115,0,0
2025-07-14,BUY,1378.0187700000001,34,1,34
2025-08-04,SELL,1363.01877,-34,0,0
2025-08-26,BUY,1438.3387699999998,37,1,37
2025-08-28,SELL,1395.98877,-37,0,0
2025-09-03,BUY,1439.01877,33,1,33
2025-09-22,SELL,1413.1087699999998,-33,0,0
2025-09-25,SELL,1390.8487699999998,-31,1,-31
2025-09-29,SELL,1387.39877,-32,2,-63
2025-10-10,SELL,1385.6187699999998,-31,3,-94
2025-10-14,SELL,1378.00877,-33,4,-127
2025-10-17,BUY,1431.1187699999998,127,0,0
2025-11-19,BUY,1422.01877,32,1,32
2025-11-26,SELL,1396.8987699999998,-32,0,0
2025-12-05,SELL,1371.99877,-36,1,-36
2025-12-10,SELL,1348.01877,-36,2,-72
2025-12-11,SELL,1354.6787699999998,-36,3,-108
2025-12-26,BUY,1386.14577,108,0,0
2026-01-06,BUY,1404.52577,34,1,34
2026-01-15,SELL,1367.99577,-34,0,0
2026-01-20,SELL,1351.47577,-34,1,-34
2026-01-22,SELL,1323.98577,-34,2,-68
2026-01-23,SELL,1312.0757700000001,-34,3,-102
2026-01-27,SELL,1316.95577,-33,4,-135
2026-01-30,BUY,1406.97577,135,0,0
2026-02-03,BUY,1416.97577,18,1,18
2026-02-09,BUY,1489.97577,15,2,33
2026-03-02,SELL,1421.97577,-33,0,0
2026-03-10,SELL,1376.87577,-15,1,-15
2026-03-13,SELL,1364.45577,-17,2,-32
2026-03-17,BUY,1439.97577,32,0,0
2026-05-06,SELL,1337.07577,-17,1,-17
2026-05-13,SELL,1326.47577,-19,2,-36
2026-05-14,SELL,1309.97577,-19,3,-55
2026-05-19,SELL,1293.87577,-20,4,-75
2026-07-15,BUY,1203.66,75,0,0
2026-07-16,BUY,1252.0,18,1,18
2026-07-17,BUY,1269.01,18,2,36
2026-08-18,SELL,1291.0,-36,0,0
2026-08-24,SELL,1271.01,-19,1,-19
