"Date","纳指ETF","沪深300ETF","黄金ETF","权重合计"
2024-01-02,0,0,0,0
2024-01-03,0,0,0,0
2024-01-04,0,0,0,0
2024-01-05,0,0,0,0
2024-01-08,0,0,0,0
2024-01-09,0,0,0,0
2024-01-10,0,0,0,0
2024-01-11,0,0,0,0
2024-01-12,0,0,0,0
2024-01-15,0,0,0,0
2024-01-16,0,0,0,0
2024-01-17,0,0,0,0
2024-01-18,0,0,0,0
2024-01-19,0,0,0,0
2024-01-22,0,0,0,0
2024-01-23,0,0,0,0
2024-01-24,0,0,0,0
2024-01-25,0,0,0,0
2024-01-26,0,0,0,0
2024-01-29,1,0,0,1
2024-01-30,1,0,0,1
2024-01-31,1,0,0,1
2024-02-01,0.824123655854204,0,0.175876344145796,1
2024-02-02,0.887646401147096,0,0.112353598852904,1
2024-02-05,1,0,0,1
2024-02-06,0.887522530073769,0.112477469926231,0,1
2024-02-07,0.664670108820866,0.248029818823178,0.0873000723559562,1
2024-02-08,0.607999021890116,0.207279425297793,0.184721552812091,1
2024-02-19,0.657269756501485,0.342730243498515,0,1
2024-02-20,0.629290121912789,0.370709878087211,0,1
2024-02-21,0.537365041303649,0.462634958696351,0,1
2024-02-22,0.435031496394907,0.520569874963213,0.0443986286418801,1
2024-02-23,0.488121001209338,0.435694212644403,0.0761847861462584,1
2024-02-26,0.449147371805399,0.486007009877266,0.0648456183173353,1
2024-02-27,0.162771437547601,0.701089764819952,0.136138797632447,1
2024-02-28,0.274093073092186,0.626277867379088,0.0996290595287256,1
2024-02-29,0.171715476443305,0.660145484336062,0.168139039220633,1
2024-03-01,0.249120172100497,0.404750733792288,0.346129094107215,1
2024-03-04,0.31168443817263,0.336669415478452,0.351646146348917,1
2024-03-05,0.203474944493856,0.399334435594166,0.397190619911977,1
2024-03-06,0.111934057681754,0.478215661609785,0.40985028070846,1
2024-03-07,0.164749297794368,0.419819105389736,0.415431596815895,1
2024-03-08,0.246175920675906,0.406327262236842,0.347496817087252,1
2024-03-11,0.105960200854406,0.531917381832287,0.362122417313307,1
